AverWRAllyHeroes,AverWRAllyGamers,AverWREnemyHeroes,AverWREnemyGamers,RadiantWon
51.660000000000004,55.038,48.926,54.194,1
49.666,64.248,48.186,60.0,1
51.188,48.38,49.342,38.884,1
51.034,53.492,51.4,52.274,1
50.032,68.88399999999999,49.160000000000004,40.484,1
49.468,51.486000000000004,48.2,50.512,0
51.46,46.141999999999996,51.126,68.88399999999999,1
50.24399999999999,48.38,50.01,30.671999999999997,1
48.67,50.236000000000004,51.236000000000004,60.60600000000001,0
48.302,58.838,49.878,64.248,0
47.86,59.996,48.972,67.256,1
47.738,60.27,51.936,38.391999999999996,1
48.709999999999994,70.942,51.298,40.484,1
49.532,39.8,48.898,53.472,1
48.242,61.907999999999994,49.768,53.26400000000001,1
47.354,58.79,49.012,50.162,1
50.202,50.4,50.186,54.848,1
49.8,53.472,50.724000000000004,57.06,0
49.3,54.848,49.730000000000004,50.4,1
47.738,57.06,49.974,53.472,0
51.370000000000005,58.79,48.526,50.054,1
50.08,49.684,50.87,51.988,0
49.288,50.292,49.626,51.248000000000005,0
48.937999999999995,50.054,49.944,58.79,1
50.204,50.227999999999994,47.956,54.577999999999996,0
50.148,59.092000000000006,49.410000000000004,42.038,1
49.715999999999994,51.248000000000005,50.94199999999999,50.292,1
48.763999999999996,53.739999999999995,50.622,49.924,1
48.466,54.577999999999996,49.112,50.227999999999994,1
49.08,49.138,50.081999999999994,50.940000000000005,0
